      table_name       |              constraint_name              |    column_name    | references_table | references_column 
-----------------------+-------------------------------------------+-------------------+------------------+-------------------
 audit_logs            | audit_logs_tenant_id_fkey                 | tenant_id         | tenants          | id
 audit_logs            | audit_logs_outlet_id_fkey                 | outlet_id         | outlets          | id
 bank_accounts         | bank_accounts_tenant_id_fkey              | tenant_id         | tenants          | id
 billing_history       | billing_history_changed_by_fkey           | changed_by        | users            | id
 billing_history       | billing_history_tenant_id_fkey            | tenant_id         | tenants          | id
 billing_history       | billing_history_user_id_fkey              | user_id           | users            | id
 business_profiles     | business_profiles_user_id_fkey            | user_id           | users            | id
 business_profiles     | business_profiles_tenant_id_fkey          | tenant_id         | tenants          | id
 cash_sessions         | cash_sessions_opened_by_fkey              | opened_by         | users            | id
 cash_sessions         | cash_sessions_tenant_id_fkey              | tenant_id         | tenants          | id
 cash_sessions         | cash_sessions_outlet_id_fkey              | outlet_id         | outlets          | id
 cash_sessions         | cash_sessions_closed_by_fkey              | closed_by         | users            | id
 daily_sales           | daily_sales_product_id_fkey               | product_id        | products         | id
 daily_sales           | daily_sales_outlet_id_fkey                | outlet_id         | outlets          | id
 daily_sales           | daily_sales_tenant_id_fkey                | tenant_id         | tenants          | id
 daily_stock           | daily_stock_tenant_id_fkey                | tenant_id         | tenants          | id
 daily_stock           | daily_stock_outlet_id_fkey                | outlet_id         | outlets          | id
 daily_stock           | daily_stock_product_id_fkey               | product_id        | products         | id
 operational_expenses  | operational_expenses_voided_by_fkey       | voided_by         | users            | id
 operational_expenses  | operational_expenses_tenant_id_fkey       | tenant_id         | tenants          | id
 operational_expenses  | operational_expenses_user_id_fkey         | user_id           | users            | id
 operational_expenses  | operational_expenses_outlet_id_fkey       | outlet_id         | outlets          | id
 outlet_group_members  | outlet_group_members_outlet_group_id_fkey | outlet_group_id   | outlet_groups    | id
 outlet_group_members  | outlet_group_members_outlet_id_fkey       | outlet_id         | outlets          | id
 outlet_groups         | outlet_groups_tenant_id_fkey              | tenant_id         | tenants          | id
 outlets               | outlets_owner_id_fkey                     | owner_id          | users            | id
 outlets               | outlets_tenant_id_fkey                    | tenant_id         | tenants          | id
 password_reset_tokens | password_reset_tokens_user_id_fkey        | user_id           | users            | id
 payment_confirmations | payment_confirmations_payment_id_fkey     | payment_id        | payments         | id
 payment_confirmations | payment_confirmations_performed_by_fkey   | performed_by      | users            | id
 payment_confirmations | payment_confirmations_tenant_id_fkey      | tenant_id         | tenants          | id
 payment_requests      | payment_requests_reviewed_by_fkey         | reviewed_by       | users            | id
 payment_requests      | payment_requests_tenant_id_fkey           | tenant_id         | tenants          | id
 payment_requests      | payment_requests_user_id_fkey             | user_id           | users            | id
 payments              | payments_tenant_id_fkey                   | tenant_id         | tenants          | id
 payments              | payments_transaction_id_fkey              | transaction_id    | transactions     | id
 payments              | payments_payment_method_id_fkey           | payment_method_id | payment_methods  | id
 payments              | payments_confirmed_by_fkey                | confirmed_by      | users            | id
 platform_settings     | platform_settings_updated_by_fkey         | updated_by        | users            | id
 pos_devices           | pos_devices_tenant_id_fkey                | tenant_id         | tenants          | id
 pos_devices           | pos_devices_outlet_id_fkey                | outlet_id         | outlets          | id
 products              | products_tenant_id_fkey                   | tenant_id         | tenants          | id
 products              | products_owner_id_fkey                    | owner_id          | users            | id
 promotions            | promotions_created_by_fkey                | created_by        | users            | id
 promotions            | promotions_get_product_id_fkey            | get_product_id    | products         | id
 promotions            | promotions_tenant_id_fkey                 | tenant_id         | tenants          | id
 qris_config           | qris_config_tenant_id_fkey                | tenant_id         | tenants          | id
 refresh_tokens        | refresh_tokens_user_id_fkey               | user_id           | users            | id
 role_permissions      | role_permissions_role_id_fkey             | role_id           | roles            | id
 role_permissions      | role_permissions_permission_id_fkey       | permission_id     | permissions      | id
 roles                 | roles_tenant_id_fkey                      | tenant_id         | tenants          | id
 shifts                | shifts_approved_by_fkey                   | approved_by       | users            | id
 shifts                | shifts_outlet_id_fkey                     | outlet_id         | outlets          | id
 shifts                | shifts_device_id_fkey                     | device_id         | pos_devices      | id
 shifts                | shifts_cashier_user_id_fkey               | cashier_user_id   | users            | id
 shifts                | shifts_tenant_id_fkey                     | tenant_id         | tenants          | id
 stock_alerts          | stock_alerts_outlet_id_fkey               | outlet_id         | outlets          | id
 stock_alerts          | stock_alerts_acknowledged_by_fkey         | acknowledged_by   | users            | id
 stock_alerts          | stock_alerts_product_id_fkey              | product_id        | products         | id
 stock_alerts          | stock_alerts_tenant_id_fkey               | tenant_id         | tenants          | id
 stock_movements       | stock_movements_user_id_fkey              | user_id           | users            | id
 stock_movements       | stock_movements_outlet_id_fkey            | outlet_id         | outlets          | id
 stock_movements       | stock_movements_tenant_id_fkey            | tenant_id         | tenants          | id
 stock_movements       | stock_movements_product_id_fkey           | product_id        | products         | id
 tenants               | tenants_owner_user_id_fkey                | owner_user_id     | users            | id
 transaction_approvals | transaction_approvals_approved_by_fkey    | approved_by       | users            | id
 transaction_approvals | transaction_approvals_transaction_id_fkey | transaction_id    | transactions     | id
 transaction_approvals | transaction_approvals_outlet_id_fkey      | outlet_id         | outlets          | id
 transaction_approvals | transaction_approvals_shift_id_fkey       | shift_id          | shifts           | id
 transaction_approvals | transaction_approvals_requested_by_fkey   | requested_by      | users            | id
 transaction_approvals | transaction_approvals_tenant_id_fkey      | tenant_id         | tenants          | id
 transaction_items     | transaction_items_tenant_id_fkey          | tenant_id         | tenants          | id
 transaction_items     | transaction_items_product_id_fkey         | product_id        | products         | id
 transaction_items     | transaction_items_transaction_id_fkey     | transaction_id    | transactions     | id
 transactions          | transactions_device_id_fkey               | device_id         | pos_devices      | id
 transactions          | transactions_shift_id_fkey                | shift_id          | shifts           | id
 transactions          | transactions_cashier_id_fkey              | cashier_id        | users            | id
 transactions          | transactions_refunded_by_fkey             | refunded_by       | users            | id
 transactions          | transactions_outlet_id_fkey               | outlet_id         | outlets          | id
 transactions          | transactions_tenant_id_fkey               | tenant_id         | tenants          | id
 transactions          | transactions_voided_by_fkey               | voided_by         | users            | id
 user_role_assignments | user_role_assignments_user_id_fkey        | user_id           | users            | id
 user_role_assignments | user_role_assignments_outlet_id_fkey      | outlet_id         | outlets          | id
 user_role_assignments | user_role_assignments_role_id_fkey        | role_id           | roles            | id
 user_role_assignments | user_role_assignments_tenant_id_fkey      | tenant_id         | tenants          | id
 users                 | users_outlet_id_fkey                      | outlet_id         | outlets          | id
 users                 | users_tenant_id_fkey                      | tenant_id         | tenants          | id
 wa_templates          | wa_templates_tenant_id_fkey               | tenant_id         | tenants          | id
(88 rows)

