    grantee    |      table_name       | privilege_type | is_grantable 
---------------+-----------------------+----------------+--------------
 anon          | _migrations           | DELETE         | NO
 anon          | _migrations           | INSERT         | NO
 anon          | _migrations           | REFERENCES     | NO
 anon          | _migrations           | SELECT         | NO
 anon          | _migrations           | TRIGGER        | NO
 anon          | _migrations           | TRUNCATE       | NO
 anon          | _migrations           | UPDATE         | NO
 authenticated | _migrations           | DELETE         | NO
 authenticated | _migrations           | INSERT         | NO
 authenticated | _migrations           | REFERENCES     | NO
 authenticated | _migrations           | SELECT         | NO
 authenticated | _migrations           | TRIGGER        | NO
 authenticated | _migrations           | TRUNCATE       | NO
 authenticated | _migrations           | UPDATE         | NO
 anon          | audit_logs            | DELETE         | NO
 anon          | audit_logs            | INSERT         | NO
 anon          | audit_logs            | REFERENCES     | NO
 anon          | audit_logs            | SELECT         | NO
 anon          | audit_logs            | TRIGGER        | NO
 anon          | audit_logs            | TRUNCATE       | NO
 anon          | audit_logs            | UPDATE         | NO
 authenticated | audit_logs            | DELETE         | NO
 authenticated | audit_logs            | INSERT         | NO
 authenticated | audit_logs            | REFERENCES     | NO
 authenticated | audit_logs            | SELECT         | NO
 authenticated | audit_logs            | TRIGGER        | NO
 authenticated | audit_logs            | TRUNCATE       | NO
 authenticated | audit_logs            | UPDATE         | NO
 anon          | billing_history       | DELETE         | NO
 anon          | billing_history       | INSERT         | NO
 anon          | billing_history       | REFERENCES     | NO
 anon          | billing_history       | SELECT         | NO
 anon          | billing_history       | TRIGGER        | NO
 anon          | billing_history       | TRUNCATE       | NO
 anon          | billing_history       | UPDATE         | NO
 authenticated | billing_history       | DELETE         | NO
 authenticated | billing_history       | INSERT         | NO
 authenticated | billing_history       | REFERENCES     | NO
 authenticated | billing_history       | SELECT         | NO
 authenticated | billing_history       | TRIGGER        | NO
 authenticated | billing_history       | TRUNCATE       | NO
 authenticated | billing_history       | UPDATE         | NO
 anon          | business_profiles     | DELETE         | NO
 anon          | business_profiles     | INSERT         | NO
 anon          | business_profiles     | REFERENCES     | NO
 anon          | business_profiles     | SELECT         | NO
 anon          | business_profiles     | TRIGGER        | NO
 anon          | business_profiles     | TRUNCATE       | NO
 anon          | business_profiles     | UPDATE         | NO
 authenticated | business_profiles     | DELETE         | NO
 authenticated | business_profiles     | INSERT         | NO
 authenticated | business_profiles     | REFERENCES     | NO
 authenticated | business_profiles     | SELECT         | NO
 authenticated | business_profiles     | TRIGGER        | NO
 authenticated | business_profiles     | TRUNCATE       | NO
 authenticated | business_profiles     | UPDATE         | NO
 anon          | cash_sessions         | DELETE         | NO
 anon          | cash_sessions         | INSERT         | NO
 anon          | cash_sessions         | REFERENCES     | NO
 anon          | cash_sessions         | SELECT         | NO
 anon          | cash_sessions         | TRIGGER        | NO
 anon          | cash_sessions         | TRUNCATE       | NO
 anon          | cash_sessions         | UPDATE         | NO
 authenticated | cash_sessions         | DELETE         | NO
 authenticated | cash_sessions         | INSERT         | NO
 authenticated | cash_sessions         | REFERENCES     | NO
 authenticated | cash_sessions         | SELECT         | NO
 authenticated | cash_sessions         | TRIGGER        | NO
 authenticated | cash_sessions         | TRUNCATE       | NO
 authenticated | cash_sessions         | UPDATE         | NO
 anon          | daily_sales           | DELETE         | NO
 anon          | daily_sales           | INSERT         | NO
 anon          | daily_sales           | REFERENCES     | NO
 anon          | daily_sales           | SELECT         | NO
 anon          | daily_sales           | TRIGGER        | NO
 anon          | daily_sales           | TRUNCATE       | NO
 anon          | daily_sales           | UPDATE         | NO
 authenticated | daily_sales           | DELETE         | NO
 authenticated | daily_sales           | INSERT         | NO
 authenticated | daily_sales           | REFERENCES     | NO
 authenticated | daily_sales           | SELECT         | NO
 authenticated | daily_sales           | TRIGGER        | NO
 authenticated | daily_sales           | TRUNCATE       | NO
 authenticated | daily_sales           | UPDATE         | NO
 anon          | daily_stock           | DELETE         | NO
 anon          | daily_stock           | INSERT         | NO
 anon          | daily_stock           | REFERENCES     | NO
 anon          | daily_stock           | SELECT         | NO
 anon          | daily_stock           | TRIGGER        | NO
 anon          | daily_stock           | TRUNCATE       | NO
 anon          | daily_stock           | UPDATE         | NO
 authenticated | daily_stock           | DELETE         | NO
 authenticated | daily_stock           | INSERT         | NO
 authenticated | daily_stock           | REFERENCES     | NO
 authenticated | daily_stock           | SELECT         | NO
 authenticated | daily_stock           | TRIGGER        | NO
 authenticated | daily_stock           | TRUNCATE       | NO
 authenticated | daily_stock           | UPDATE         | NO
 anon          | operational_expenses  | DELETE         | NO
 anon          | operational_expenses  | INSERT         | NO
 anon          | operational_expenses  | REFERENCES     | NO
 anon          | operational_expenses  | SELECT         | NO
 anon          | operational_expenses  | TRIGGER        | NO
 anon          | operational_expenses  | TRUNCATE       | NO
 anon          | operational_expenses  | UPDATE         | NO
 authenticated | operational_expenses  | DELETE         | NO
 authenticated | operational_expenses  | INSERT         | NO
 authenticated | operational_expenses  | REFERENCES     | NO
 authenticated | operational_expenses  | SELECT         | NO
 authenticated | operational_expenses  | TRIGGER        | NO
 authenticated | operational_expenses  | TRUNCATE       | NO
 authenticated | operational_expenses  | UPDATE         | NO
 anon          | outlet_group_members  | DELETE         | NO
 anon          | outlet_group_members  | INSERT         | NO
 anon          | outlet_group_members  | REFERENCES     | NO
 anon          | outlet_group_members  | SELECT         | NO
 anon          | outlet_group_members  | TRIGGER        | NO
 anon          | outlet_group_members  | TRUNCATE       | NO
 anon          | outlet_group_members  | UPDATE         | NO
 authenticated | outlet_group_members  | DELETE         | NO
 authenticated | outlet_group_members  | INSERT         | NO
 authenticated | outlet_group_members  | REFERENCES     | NO
 authenticated | outlet_group_members  | SELECT         | NO
 authenticated | outlet_group_members  | TRIGGER        | NO
 authenticated | outlet_group_members  | TRUNCATE       | NO
 authenticated | outlet_group_members  | UPDATE         | NO
 anon          | outlet_groups         | DELETE         | NO
 anon          | outlet_groups         | INSERT         | NO
 anon          | outlet_groups         | REFERENCES     | NO
 anon          | outlet_groups         | SELECT         | NO
 anon          | outlet_groups         | TRIGGER        | NO
 anon          | outlet_groups         | TRUNCATE       | NO
 anon          | outlet_groups         | UPDATE         | NO
 authenticated | outlet_groups         | DELETE         | NO
 authenticated | outlet_groups         | INSERT         | NO
 authenticated | outlet_groups         | REFERENCES     | NO
 authenticated | outlet_groups         | SELECT         | NO
 authenticated | outlet_groups         | TRIGGER        | NO
 authenticated | outlet_groups         | TRUNCATE       | NO
 authenticated | outlet_groups         | UPDATE         | NO
 anon          | outlets               | DELETE         | NO
 anon          | outlets               | INSERT         | NO
 anon          | outlets               | REFERENCES     | NO
 anon          | outlets               | SELECT         | NO
 anon          | outlets               | TRIGGER        | NO
 anon          | outlets               | TRUNCATE       | NO
 anon          | outlets               | UPDATE         | NO
 authenticated | outlets               | DELETE         | NO
 authenticated | outlets               | INSERT         | NO
 authenticated | outlets               | REFERENCES     | NO
 authenticated | outlets               | SELECT         | NO
 authenticated | outlets               | TRIGGER        | NO
 authenticated | outlets               | TRUNCATE       | NO
 authenticated | outlets               | UPDATE         | NO
 anon          | payment_requests      | DELETE         | NO
 anon          | payment_requests      | INSERT         | NO
 anon          | payment_requests      | REFERENCES     | NO
 anon          | payment_requests      | SELECT         | NO
 anon          | payment_requests      | TRIGGER        | NO
 anon          | payment_requests      | TRUNCATE       | NO
 anon          | payment_requests      | UPDATE         | NO
 authenticated | payment_requests      | DELETE         | NO
 authenticated | payment_requests      | INSERT         | NO
 authenticated | payment_requests      | REFERENCES     | NO
 authenticated | payment_requests      | SELECT         | NO
 authenticated | payment_requests      | TRIGGER        | NO
 authenticated | payment_requests      | TRUNCATE       | NO
 authenticated | payment_requests      | UPDATE         | NO
 anon          | permissions           | DELETE         | NO
 anon          | permissions           | INSERT         | NO
 anon          | permissions           | REFERENCES     | NO
 anon          | permissions           | SELECT         | NO
 anon          | permissions           | TRIGGER        | NO
 anon          | permissions           | TRUNCATE       | NO
 anon          | permissions           | UPDATE         | NO
 authenticated | permissions           | DELETE         | NO
 authenticated | permissions           | INSERT         | NO
 authenticated | permissions           | REFERENCES     | NO
 authenticated | permissions           | SELECT         | NO
 authenticated | permissions           | TRIGGER        | NO
 authenticated | permissions           | TRUNCATE       | NO
 authenticated | permissions           | UPDATE         | NO
 anon          | platform_settings     | DELETE         | NO
 anon          | platform_settings     | INSERT         | NO
 anon          | platform_settings     | REFERENCES     | NO
 anon          | platform_settings     | SELECT         | NO
 anon          | platform_settings     | TRIGGER        | NO
 anon          | platform_settings     | TRUNCATE       | NO
 anon          | platform_settings     | UPDATE         | NO
 authenticated | platform_settings     | DELETE         | NO
 authenticated | platform_settings     | INSERT         | NO
 authenticated | platform_settings     | REFERENCES     | NO
 authenticated | platform_settings     | SELECT         | NO
 authenticated | platform_settings     | TRIGGER        | NO
 authenticated | platform_settings     | TRUNCATE       | NO
 authenticated | platform_settings     | UPDATE         | NO
 anon          | pos_devices           | DELETE         | NO
 anon          | pos_devices           | INSERT         | NO
 anon          | pos_devices           | REFERENCES     | NO
 anon          | pos_devices           | SELECT         | NO
 anon          | pos_devices           | TRIGGER        | NO
 anon          | pos_devices           | TRUNCATE       | NO
 anon          | pos_devices           | UPDATE         | NO
 authenticated | pos_devices           | DELETE         | NO
 authenticated | pos_devices           | INSERT         | NO
 authenticated | pos_devices           | REFERENCES     | NO
 authenticated | pos_devices           | SELECT         | NO
 authenticated | pos_devices           | TRIGGER        | NO
 authenticated | pos_devices           | TRUNCATE       | NO
 authenticated | pos_devices           | UPDATE         | NO
 anon          | products              | DELETE         | NO
 anon          | products              | INSERT         | NO
 anon          | products              | REFERENCES     | NO
 anon          | products              | SELECT         | NO
 anon          | products              | TRIGGER        | NO
 anon          | products              | TRUNCATE       | NO
 anon          | products              | UPDATE         | NO
 authenticated | products              | DELETE         | NO
 authenticated | products              | INSERT         | NO
 authenticated | products              | REFERENCES     | NO
 authenticated | products              | SELECT         | NO
 authenticated | products              | TRIGGER        | NO
 authenticated | products              | TRUNCATE       | NO
