 schemaname |       tablename       |                policyname                | permissive |      roles      |  cmd   |                                     qual                                     |              with_check              
------------+-----------------------+------------------------------------------+------------+-----------------+--------+------------------------------------------------------------------------------+--------------------------------------
 public     | audit_logs            | Admins can read all audit logs           | PERMISSIVE | {public}        | SELECT | (EXISTS ( SELECT 1                                                          +| 
            |                       |                                          |            |                 |        |    FROM users                                                               +| 
            |                       |                                          |            |                 |        |   WHERE ((users.id = auth.uid()) AND ((users.role)::text = 'admin'::text)))) | 
 public     | audit_logs            | System can insert audit logs             | PERMISSIVE | {public}        | INSERT |                                                                              | true
 public     | audit_logs            | audit_logs_insert                        | PERMISSIVE | {authenticated} | INSERT |                                                                              | true
 public     | audit_logs            | audit_logs_tenant_select                 | PERMISSIVE | {authenticated} | SELECT | (tenant_id IN ( SELECT ura.tenant_id                                        +| 
            |                       |                                          |            |                 |        |    FROM ((user_role_assignments ura                                         +| 
            |                       |                                          |            |                 |        |      JOIN role_permissions rp ON ((rp.role_id = ura.role_id)))              +| 
            |                       |                                          |            |                 |        |      JOIN permissions p ON ((p.id = rp.permission_id)))                     +| 
            |                       |                                          |            |                 |        |   WHERE ((ura.user_id = auth.uid()) AND (p.key = 'audit.view'::text))))      | 
 public     | bank_accounts         | bank_accounts_deny_all                   | PERMISSIVE | {public}        | ALL    | false                                                                        | 
 public     | billing_history       | billing_history_tenant_select            | PERMISSIVE | {authenticated} | SELECT | (tenant_id IN ( SELECT ura.tenant_id                                        +| 
            |                       |                                          |            |                 |        |    FROM user_role_assignments ura                                           +| 
            |                       |                                          |            |                 |        |   WHERE (ura.user_id = auth.uid())))                                         | 
 public     | business_profiles     | business_profiles_tenant_select          | PERMISSIVE | {authenticated} | SELECT | (tenant_id IN ( SELECT ura.tenant_id                                        +| 
            |                       |                                          |            |                 |        |    FROM user_role_assignments ura                                           +| 
            |                       |                                          |            |                 |        |   WHERE (ura.user_id = auth.uid())))                                         | 
 public     | cash_sessions         | cash_sessions_tenant_select              | PERMISSIVE | {authenticated} | SELECT | (tenant_id IN ( SELECT ura.tenant_id                                        +| 
            |                       |                                          |            |                 |        |    FROM user_role_assignments ura                                           +| 
            |                       |                                          |            |                 |        |   WHERE (ura.user_id = auth.uid())))                                         | 
 public     | daily_sales           | daily_sales_tenant_select                | PERMISSIVE | {authenticated} | SELECT | (tenant_id IN ( SELECT ura.tenant_id                                        +| 
            |                       |                                          |            |                 |        |    FROM user_role_assignments ura                                           +| 
            |                       |                                          |            |                 |        |   WHERE (ura.user_id = auth.uid())))                                         | 
 public     | daily_stock           | daily_stock_tenant_select                | PERMISSIVE | {authenticated} | SELECT | (tenant_id IN ( SELECT ura.tenant_id                                        +| 
            |                       |                                          |            |                 |        |    FROM user_role_assignments ura                                           +| 
            |                       |                                          |            |                 |        |   WHERE (ura.user_id = auth.uid())))                                         | 
 public     | operational_expenses  | operational_expenses_insert              | PERMISSIVE | {authenticated} | INSERT |                                                                              | (tenant_id IN ( SELECT ura.tenant_id+
            |                       |                                          |            |                 |        |                                                                              |    FROM user_role_assignments ura   +
            |                       |                                          |            |                 |        |                                                                              |   WHERE (ura.user_id = auth.uid())))
 public     | operational_expenses  | operational_expenses_tenant_select       | PERMISSIVE | {authenticated} | SELECT | (tenant_id IN ( SELECT ura.tenant_id                                        +| 
            |                       |                                          |            |                 |        |    FROM user_role_assignments ura                                           +| 
            |                       |                                          |            |                 |        |   WHERE (ura.user_id = auth.uid())))                                         | 
 public     | outlets               | outlets_tenant_select                    | PERMISSIVE | {authenticated} | SELECT | (tenant_id IN ( SELECT ura.tenant_id                                        +| 
            |                       |                                          |            |                 |        |    FROM user_role_assignments ura                                           +| 
            |                       |                                          |            |                 |        |   WHERE (ura.user_id = auth.uid())))                                         | 
 public     | password_reset_tokens | Backend can manage password reset tokens | PERMISSIVE | {public}        | ALL    | true                                                                         | true
 public     | password_reset_tokens | password_reset_tokens_deny_all           | PERMISSIVE | {public}        | ALL    | false                                                                        | 
 public     | payment_confirmations | payment_confirmations_deny_all           | PERMISSIVE | {public}        | ALL    | false                                                                        | 
 public     | payment_methods       | payment_methods_deny_write               | PERMISSIVE | {public}        | ALL    | false                                                                        | false
 public     | payment_methods       | payment_methods_read_only                | PERMISSIVE | {authenticated} | SELECT | true                                                                         | 
 public     | payments              | payments_deny_all                        | PERMISSIVE | {public}        | ALL    | false                                                                        | 
