     role      |          permission          
---------------+------------------------------
 ADMIN_TENANT  | audit.view
 ADMIN_TENANT  | cash.drawer.open
 ADMIN_TENANT  | cash.in_out
 ADMIN_TENANT  | inventory.adjust
 ADMIN_TENANT  | inventory.opname
 ADMIN_TENANT  | inventory.transfer
 ADMIN_TENANT  | inventory.view
 ADMIN_TENANT  | pos.discount.apply_large
 ADMIN_TENANT  | pos.discount.apply_small
 ADMIN_TENANT  | pos.receipt.reprint
 ADMIN_TENANT  | pos.refund.approve
 ADMIN_TENANT  | pos.refund.request
 ADMIN_TENANT  | pos.transaction.create
 ADMIN_TENANT  | pos.transaction.void.approve
 ADMIN_TENANT  | pos.transaction.void.request
 ADMIN_TENANT  | price.manage
 ADMIN_TENANT  | product.manage
 ADMIN_TENANT  | product.view
 ADMIN_TENANT  | report.export
 ADMIN_TENANT  | report.outlet.view
 ADMIN_TENANT  | report.tenant.view
 ADMIN_TENANT  | role.manage
 ADMIN_TENANT  | settings.manage
 ADMIN_TENANT  | shift.approve
 ADMIN_TENANT  | shift.close
 ADMIN_TENANT  | shift.open
 ADMIN_TENANT  | user.manage
 ADMIN_TENANT  | user.view
 AREA_MANAGER  | audit.view
 AREA_MANAGER  | cash.drawer.open
 AREA_MANAGER  | cash.in_out
 AREA_MANAGER  | inventory.adjust
 AREA_MANAGER  | inventory.opname
 AREA_MANAGER  | inventory.transfer
 AREA_MANAGER  | inventory.view
 AREA_MANAGER  | pos.discount.apply_large
 AREA_MANAGER  | pos.discount.apply_small
 AREA_MANAGER  | pos.receipt.reprint
 AREA_MANAGER  | pos.refund.approve
 AREA_MANAGER  | pos.transaction.create
 AREA_MANAGER  | pos.transaction.void.approve
 AREA_MANAGER  | product.view
 AREA_MANAGER  | report.export
 AREA_MANAGER  | report.outlet.view
 AREA_MANAGER  | report.tenant.view
 AREA_MANAGER  | shift.approve
 AREA_MANAGER  | shift.close
 AREA_MANAGER  | shift.open
 AREA_MANAGER  | user.view
 AUDITOR       | audit.view
 AUDITOR       | inventory.view
 AUDITOR       | product.view
 AUDITOR       | report.export
 AUDITOR       | report.outlet.view
 AUDITOR       | report.tenant.view
 AUDITOR       | user.view
 CASHIER       | cash.drawer.open
 CASHIER       | inventory.view
 CASHIER       | pos.discount.apply_small
 CASHIER       | pos.receipt.reprint
 CASHIER       | pos.refund.request
 CASHIER       | pos.transaction.create
 CASHIER       | pos.transaction.void.request
 CASHIER       | product.view
 CASHIER       | shift.close
 CASHIER       | shift.open
 OWNER         | audit.view
 OWNER         | cash.drawer.open
 OWNER         | cash.in_out
 OWNER         | inventory.adjust
 OWNER         | inventory.opname
 OWNER         | inventory.transfer
 OWNER         | inventory.view
 OWNER         | pos.discount.apply_large
 OWNER         | pos.discount.apply_small
 OWNER         | pos.receipt.reprint
 OWNER         | pos.refund.approve
 OWNER         | pos.refund.request
 OWNER         | pos.transaction.create
 OWNER         | pos.transaction.void.approve
 OWNER         | pos.transaction.void.request
 OWNER         | price.manage
 OWNER         | product.manage
 OWNER         | product.view
 OWNER         | report.export
 OWNER         | report.outlet.view
 OWNER         | report.tenant.view
 OWNER         | role.manage
 OWNER         | settings.manage
 OWNER         | shift.approve
 OWNER         | shift.close
 OWNER         | shift.open
 OWNER         | user.manage
 OWNER         | user.view
 STORE_MANAGER | audit.view
 STORE_MANAGER | cash.drawer.open
 STORE_MANAGER | cash.in_out
 STORE_MANAGER | inventory.adjust
 STORE_MANAGER | inventory.opname
 STORE_MANAGER | inventory.view
 STORE_MANAGER | pos.discount.apply_large
 STORE_MANAGER | pos.discount.apply_small
 STORE_MANAGER | pos.receipt.reprint
 STORE_MANAGER | pos.refund.approve
 STORE_MANAGER | pos.transaction.create
 STORE_MANAGER | pos.transaction.void.approve
 STORE_MANAGER | product.view
 STORE_MANAGER | report.export
 STORE_MANAGER | report.outlet.view
 STORE_MANAGER | shift.approve
 STORE_MANAGER | shift.close
 STORE_MANAGER | shift.open
 STORE_MANAGER | user.view
(113 rows)

